Year,Population,Metro Area
1987-12-31 00:00:00,8553844,"Los Angeles-Long Beach-Glendale, CA"
1986-12-31 00:00:00,8393640,"Los Angeles-Long Beach-Glendale, CA"
1985-12-31 00:00:00,8182906,"Los Angeles-Long Beach-Glendale, CA"
1984-12-31 00:00:00,8041685,"Los Angeles-Long Beach-Glendale, CA"
2009-12-31 00:00:00,7998257,"Chicago-Naperville-Joliet, IL"
2014-12-31 00:00:00,7986385,"Chicago-Naperville-Joliet, IL"
2015-12-31 00:00:00,7982203,"Chicago-Naperville-Joliet, IL"
2013-12-31 00:00:00,7975787,"Chicago-Naperville-Joliet, IL"
2016-12-31 00:00:00,7966424,"Chicago-Naperville-Joliet, IL"
2012-12-31 00:00:00,7953704,"Chicago-Naperville-Joliet, IL"
2017-12-31 00:00:00,7948386,"Chicago-Naperville-Joliet, IL"
2008-12-31 00:00:00,7941338,"Chicago-Naperville-Joliet, IL"
2018-12-31 00:00:00,7927208,"Chicago-Naperville-Joliet, IL"
2011-12-31 00:00:00,7924618,"Chicago-Naperville-Joliet, IL"
1983-12-31 00:00:00,7920955,"Los Angeles-Long Beach-Glendale, CA"
2007-12-31 00:00:00,7888362,"Chicago-Naperville-Joliet, IL"
2010-12-31 00:00:00,7883147,"Chicago-Naperville-Joliet, IL"
2006-12-31 00:00:00,7845825,"Chicago-Naperville-Joliet, IL"
2005-12-31 00:00:00,7821572,"Chicago-Naperville-Joliet, IL"
2004-12-31 00:00:00,7805193,"Chicago-Naperville-Joliet, IL"
2003-12-31 00:00:00,7773183,"Chicago-Naperville-Joliet, IL"
1982-12-31 00:00:00,7767422,"Los Angeles-Long Beach-Glendale, CA"
2002-12-31 00:00:00,7741211,"Chicago-Naperville-Joliet, IL"
2001-12-31 00:00:00,7702926,"Chicago-Naperville-Joliet, IL"
2000-12-31 00:00:00,7643102,"Chicago-Naperville-Joliet, IL"
1981-12-31 00:00:00,7608796,"Los Angeles-Long Beach-Glendale, CA"
1980-12-31 00:00:00,7477239,"Los Angeles-Long Beach-Glendale, CA"
1979-12-31 00:00:00,7401000,"Los Angeles-Long Beach-Glendale, CA"
1999-12-31 00:00:00,7390532,"Chicago-Naperville-Joliet, IL"
1978-12-31 00:00:00,7351700,"Los Angeles-Long Beach-Glendale, CA"
1998-12-31 00:00:00,7340786,"Chicago-Naperville-Joliet, IL"
1997-12-31 00:00:00,7292734,"Chicago-Naperville-Joliet, IL"
1977-12-31 00:00:00,7251600,"Los Angeles-Long Beach-Glendale, CA"
1996-12-31 00:00:00,7249767,"Chicago-Naperville-Joliet, IL"
1976-12-31 00:00:00,7211700,"Los Angeles-Long Beach-Glendale, CA"
1995-12-31 00:00:00,7201104,"Chicago-Naperville-Joliet, IL"
1994-12-31 00:00:00,7150469,"Chicago-Naperville-Joliet, IL"
1975-12-31 00:00:00,7116800,"Los Angeles-Long Beach-Glendale, CA"
1971-12-31 00:00:00,7103600,"Los Angeles-Long Beach-Glendale, CA"
1993-12-31 00:00:00,7095245,"Chicago-Naperville-Joliet, IL"
1974-12-31 00:00:00,7085800,"Los Angeles-Long Beach-Glendale, CA"
1972-12-31 00:00:00,7056600,"Los Angeles-Long Beach-Glendale, CA"
1970-12-31 00:00:00,7041982,"Los Angeles-Long Beach-Glendale, CA"
1973-12-31 00:00:00,7040400,"Los Angeles-Long Beach-Glendale, CA"
1992-12-31 00:00:00,7032741,"Chicago-Naperville-Joliet, IL"
2018-12-31 00:00:00,7026103,"Houston-Baytown-Sugar Land, TX"
1991-12-31 00:00:00,6963724,"Chicago-Naperville-Joliet, IL"
2017-12-31 00:00:00,6933937,"Houston-Baytown-Sugar Land, TX"
1990-12-31 00:00:00,6904812,"Chicago-Naperville-Joliet, IL"
1989-12-31 00:00:00,6881849,"Chicago-Naperville-Joliet, IL"
1988-12-31 00:00:00,6864986,"Chicago-Naperville-Joliet, IL"
1987-12-31 00:00:00,6861237,"Chicago-Naperville-Joliet, IL"
1986-12-31 00:00:00,6845354,"Chicago-Naperville-Joliet, IL"
2016-12-31 00:00:00,6839984,"Houston-Baytown-Sugar Land, TX"
1985-12-31 00:00:00,6835264,"Chicago-Naperville-Joliet, IL"
1984-12-31 00:00:00,6832529,"Chicago-Naperville-Joliet, IL"
1978-12-31 00:00:00,6828000,"Chicago-Naperville-Joliet, IL"
1977-12-31 00:00:00,6818700,"Chicago-Naperville-Joliet, IL"
1980-12-31 00:00:00,6805678,"Chicago-Naperville-Joliet, IL"
1979-12-31 00:00:00,6805000,"Chicago-Naperville-Joliet, IL"
1983-12-31 00:00:00,6804911,"Chicago-Naperville-Joliet, IL"
1982-12-31 00:00:00,6802016,"Chicago-Naperville-Joliet, IL"
1976-12-31 00:00:00,6796800,"Chicago-Naperville-Joliet, IL"
1972-12-31 00:00:00,6790700,"Chicago-Naperville-Joliet, IL"
1981-12-31 00:00:00,6789127,"Chicago-Naperville-Joliet, IL"
1975-12-31 00:00:00,6781600,"Chicago-Naperville-Joliet, IL"
1974-12-31 00:00:00,6777500,"Chicago-Naperville-Joliet, IL"
1971-12-31 00:00:00,6777200,"Chicago-Naperville-Joliet, IL"
1973-12-31 00:00:00,6777000,"Chicago-Naperville-Joliet, IL"
1970-12-31 00:00:00,6716683,"Chicago-Naperville-Joliet, IL"
2015-12-31 00:00:00,6703923,"Houston-Baytown-Sugar Land, TX"
2014-12-31 00:00:00,6530669,"Houston-Baytown-Sugar Land, TX"
2013-12-31 00:00:00,6357391,"Houston-Baytown-Sugar Land, TX"
2012-12-31 00:00:00,6211805,"Houston-Baytown-Sugar Land, TX"
2011-12-31 00:00:00,6083144,"Houston-Baytown-Sugar Land, TX"
2010-12-31 00:00:00,5946800,"Houston-Baytown-Sugar Land, TX"
2018-12-31 00:00:00,5931098,"Atlanta-Sandy Springs-Marietta, GA"
2009-12-31 00:00:00,5867489,"Houston-Baytown-Sugar Land, TX"
2017-12-31 00:00:00,5855868,"Atlanta-Sandy Springs-Marietta, GA"
2016-12-31 00:00:00,5772177,"Atlanta-Sandy Springs-Marietta, GA"
2008-12-31 00:00:00,5726705,"Houston-Baytown-Sugar Land, TX"
2015-12-31 00:00:00,5670339,"Atlanta-Sandy Springs-Marietta, GA"
2007-12-31 00:00:00,5597674,"Houston-Baytown-Sugar Land, TX"
2014-12-31 00:00:00,5576651,"Atlanta-Sandy Springs-Marietta, GA"
2013-12-31 00:00:00,5493645,"Atlanta-Sandy Springs-Marietta, GA"
2006-12-31 00:00:00,5484883,"Houston-Baytown-Sugar Land, TX"
2009-12-31 00:00:00,5475213,"Atlanta-Sandy Springs-Marietta, GA"
2012-12-31 00:00:00,5426962,"Atlanta-Sandy Springs-Marietta, GA"
2008-12-31 00:00:00,5385586,"Atlanta-Sandy Springs-Marietta, GA"
2011-12-31 00:00:00,5348354,"Atlanta-Sandy Springs-Marietta, GA"
2005-12-31 00:00:00,5299567,"Houston-Baytown-Sugar Land, TX"
