germ	lingwistyka	u(germ)	u(ling)
73.46	78.8	2	1
77.19	78.78	2	1
81.17	78.75	1	2
72.21	78.73	2	1
70.89	78.61	2	1
68.08	78.54	2	1
60.74	78.5	2	1
92.64	78.47	1	2
51.46	78.45	2	1
68.78	78.35	2	1
90.31	78.28	1	2
92.76	78.26	1	2
82.69	78.22	1	2
60.88	78.21	2	1
84.8	78.21	1	2
99.26	78.18	1	2
79.75	78.17	1	2
88.23	78.16	1	2
63.89	78.1	2	1
86.1	78.01	1	2
73.2	78	2	1
61.37	77.99	2	1
60.8	77.9	2	1
77.9	77.89	1	2
63.92	77.89	2	1
50.64	77.89	2	1
78.94	77.88	1	2
70.61	77.86	2	1
89.84	77.82	1	2
51.41	77.81	2	1
93.34	77.64	1	2
62.19	77.62	2	1
80.06	77.62	1	2
66.67	77.61	2	1
95.07	77.56	1	2
50.95	77.52	2	1
58.17	77.48	2	1
80.47	77.41	1	2
61.17	77.41	2	1
84.97	77.39	1	2
74.43	77.34	2	1
78.97	77.34	1	2
96.34	77.32	1	2
84.2	77.31	1	2
67.16	77.26	2	1
86.35	77.23	1	2
50.12	77.22	2	1
80.35	77.22	1	2
85.76	77.19	1	2
70.17	77.16	2	1
77.74	77.16	1	2
76.03	77.15	2	1
95.71	77.15	1	2
98.14	77.08	1	2
53.71	77.03	2	1
51.68	77.01	2	1
86.89	76.92	1	2
54.58	76.91	2	1
82.61	76.88	1	2
60.03	76.85	2	1
99.87	76.79	1	2
92.55	76.79	1	2
87.1	76.78	1	2
96.32	76.75	1	2
95.02	76.75	1	2
82.84	76.72	1	2
70.54	76.7	2	1
55.77	76.65	2	1
67.46	76.64	2	1
61.18	76.59	2	1
68.03	76.55	2	1
68.47	76.35	2	1
61.38	76.31	2	1
58.1	76.27	2	1
90.22	76.27	1	2
63.85	76.26	2	1
96.89	76.26	1	2
59.1	76.22	2	1
55.68	76.21	2	1
89.06	76.19	1	2
63.7	76.18	2	1
58.02	76.12	2	1
93.79	76.12	1	2
53.96	76.11	2	1
62.63	76	2	1
79.24	75.97	1	2
63.52	75.94	2	1
71.84	75.87	2	1
62.91	75.85	2	1
90.94	75.73	1	2
56.11	75.71	2	1
60.3	75.69	2	1
72.31	75.65	2	1
71.82	75.53	2	1
73.41	75.44	2	1
74.34	75.41	2	1
53.92	75.21	2	1
74.57	75.21	2	1
86.1	75.18	1	2
99.4	75.17	1	2
87.41	75.15	1	2
84.11	75.07	1	2
53.91	75.01	2	1
52.66	75	2	1
61.81	74.93	2	1
75.62	74.91	1	2
73.4	74.88	2	1
75.5	74.87	1	2
74.48	74.85	2	1
83.2	74.83	1	2
69.58	74.82	2	1
72.71	74.82	2	1
88.02	74.76	1	2
60.82	74.72	2	1
88.88	74.63	1	2
79.17	74.59	1	2
55.59	74.56	2	1
64.37	74.48	2	1
85.89	74.45	1	2
80.13	74.42	1	2
55.53	74.32	2	1
50.62	74.31	2	1
85.23	74.27	1	2
83.02	74.27	1	2
54.43	74.24	2	1
62.17	74.22	2	1
63.62	74.19	2	1
79.57	74.18	1	2
70.31	74.15	2	1
50.6	74.13	2	1
90.52	74.12	1	2
52.5	74.11	2	1
66.44	74.1	2	1
97.39	74.08	1	2
84.91	74.01	1	2
71.62	74.01	2	1
79.9	73.92	1	2
77.66	73.84	1	2
57.52	73.81	2	1
98.89	73.79	1	2
53.16	73.78	2	1
57.71	73.71	2	1
88.41	73.59	1	2
76.3	73.55	1	2
